title,commander,decklist
Everyone's Invited! (SLD),"Morophon, the Boundless","Morophon, the Boundless
1 Raise the Palisade
1 Bitterblossom
1 Taurean Mauler
1 Avenger of Zendikar
1 Coat of Arms
1 Kindred Summons
1 Maskwood Nexus
1 Sol Ring
1 Tendershoot Dryad
1 Adarkar Wastes
1 Amoeboid Changeling
1 Ancient Amphitheater
1 Arcane Adaptation
1 Arcane Denial
1 Arcane Sanctum
1 Arcane Signet
1 Atla Palani, Nest Tender
1 Beast Within
1 Black Market Connections
1 Bloodline Pretender
1 Brenard, Ginger Sculptor
1 Bruse Tarl, Roving Rancher
1 Brushland
1 Chameleon Colossus
1 Cloudshredder Sliver
1 Command Tower
1 Crib Swap
1 Cultivate
1 Darkwater Catacombs
1 Distant Melody
1 Double Down
1 Exotic Orchard
1 Fabled Passage
1 Farseek
1 Feline Sovereign
1 Fire-Belly Changeling
1 Frontier Bivouac
1 Gemhide Sliver
1 Gilt-Leaf Palace
1 Graveshifter
1 Guardian Gladewalker
1 Harabaz Druid
1 Harper Recruiter
1 Impostor of the Sixth Pride
1 Jungle Shrine
1 Karplusan Forest
1 Kindred Discovery
1 Kindred Dominance
1 Kinsbaile Cavalier
1 Kirri, Talented Sprout
1 Kodama's Reach
1 Llanowar Wastes
1 Magda, Brazen Outlaw
1 Manaweft Sliver
1 Masked Vandal
1 Mirror Entity
1 Moritte of the Frost
1 Mossfire Valley
1 Mothdust Changeling
1 Murmuring Bosk
1 Mutavault
1 Nameless Inversion
1 Opulent Palace
1 Overflowing Basin
1 Path of Ancestry
1 Pongify
1 Realmbreaker, the Invasion Tree
1 Realmwalker
1 Rin and Seri, Inseparable
1 Risen Reef
1 Rukarumel, Biologist
1 Seaside Citadel
1 Secluded Glen
1 Shapesharer
1 Shields of Velis Vel
1 Skeletal Changeling
1 Sophia, Dogged Detective
1 Spoils of Adventure
1 Stick Together
1 Sungrass Prairie
1 Tazri, Beacon of Unity
1 The Bears of Littjara
1 The World Tree
1 Universal Automaton
1 Unsettled Mariner
1 Wanderwine Hub
1 Yavimaya Coast
1 Forest
1 Forest
1 Forest
1 Plains
1 Plains
1 Plains
1 Mountain
1 Mountain
1 Island
1 Island
1 Island
1 Swamp
"
Abzan Armor (TDC),Felothar the Steadfast,"Felothar the Steadfast
1 Betor, Ancestor's Voice
1 Protector of the Wastes
1 Reunion of the House
1 Jaws of Defeat
1 Tip the Scales
1 Will of the Abzan
1 Arbor Adherent
1 Canopy Gargantuan
1 Rampart Architect
1 Tree of Redemption
1 Ikra Shidiqi, the Usurper
1 Baldin, Century Herdmaster
1 Expel the Interlopers
1 Indomitable Ancients
1 Rhox Faithmender
1 Shalai, Voice of Plenty
1 Wakestone Gargoyle
1 Wall of Reverence
1 Welcoming Vampire
1 Zetalpa, Primal Dawn
1 Arasta of the Endless Web
1 Assault Formation
1 Hornet Nest
1 Seedborn Muse
1 Sylvan Caryatid
1 Towering Titan
1 Anguished Unmaking
1 Dragonlord Dromoka
1 Faeburrow Elder
1 Shadrix Silverquill
1 Sidar Kondo of Jamuraa
1 Colfenor's Urn
1 Staff of Compleation
1 Weathered Sentinels
1 Canopy Vista
1 Exotic Orchard
1 Fortified Village
1 Isolated Chapel
1 Overgrown Farmland
1 Sungrass Prairie
1 Sunpetal Grove
1 Temple of Malady
1 Temple of Plenty
1 Temple of Silence
1 Twilight Mire
1 Woodland Cemetery
1 Arcane Signet
1 Sol Ring
1 Command Tower
1 Nyx-Fleece Ram
1 Slaughter the Strong
1 Swords to Plowshares
1 Wall of Omens
1 Wingmantle Chaplain
1 Behind the Scenes
1 Blight Pile
1 Feed the Swarm
1 Infernal Grasp
1 Wall of Limbs
1 Arboreal Grazer
1 Axebane Guardian
1 Carven Caryatid
1 Evolving Wilds
1 Jaddi Offshoot
1 Overgrown Battlement
1 Sandsteppe Citadel
1 Tower Defense
1 Wall of Blossoms
1 Wall of Roots
1 Despark
1 Indulging Patrician
1 Crashing Drawbridge
1 Orzhov Signet
1 Selesnya Signet
1 Swiftfoot Boots
1 Walking Bulwark
1 Access Tunnel
1 Bojuka Bog
1 Deceptive Landscape
1 Path of Ancestry
1 Radiant Grove
3 Plains
3 Plains
3 Swamp
2 Swamp
4 Forest
3 Forest
"
Jeskai Striker (TDC),"Shiko and Narset, Unified","Shiko and Narset, Unified
1 Elsha, Threefold Master
1 Aligned Heart
1 Tempest Technique
1 Adaptive Training Post
1 Transcendent Dragon
1 Voracious Bibliophile
1 Caldera Pyremaw
1 Transforming Flourish
1 Will of the Jeskai
1 Vanquish the Horde
1 Narset's Reversal
1 Dismantling Wave
1 Mangara, the Diplomat
1 Monastery Mentor
1 Ancestral Vision
1 Archmage Emeritus
1 Baral's Expertise
1 Curse of the Swine
1 Haughty Djinn
1 Lier, Disciple of the Drowned
1 Rite of Replication
1 Sublime Epiphany
1 Electrodominance
1 Manaform Hellkite
1 Baral and Kari Zev
1 Expansion // Explosion
1 Magma Opus
1 Prismari Command
1 Time Wipe
1 Velomachus Lorehold
1 Veyran, Voice of Duality
1 Whirlwind of Thought
1 Adarkar Wastes
1 Battlefield Forge
1 Cascade Bluffs
1 Clifftop Retreat
1 Exotic Orchard
1 Ferrous Lake
1 Glacial Fortress
1 Irrigated Farmland
1 Prairie Stream
1 Rugged Prairie
1 Shivan Reef
1 Skycloud Expanse
1 Sulfur Falls
1 Temple of Enlightenment
1 Temple of Epiphany
1 Temple of Triumph
1 Young Pyromancer
1 Goblin Electromancer
1 Arcane Signet
1 Sol Ring
1 Command Tower
1 Ghostly Prison
1 Swords to Plowshares
1 Compulsive Research
1 Consider
1 Deep Analysis
1 Frantic Search
1 Opt
1 Ponder
1 Pongify
1 Preordain
1 Think Twice
1 Abrade
1 Big Score
1 Curse of Opulence
1 Faithless Looting
1 Guttersnipe
1 Mana Geyser
1 Shiny Impetus
1 Storm-Kiln Artist
1 Evolving Wilds
1 Mystic Monastery
1 Expressive Iteration
1 Third Path Iconoclast
1 Azorius Signet
1 Boros Signet
1 Fellwar Stone
1 Izzet Signet
1 Talisman of Progress
1 Ash Barrens
1 Path of Ancestry
1 Perilous Landscape
1 Reliquary Tower
2 Plains
2 Plains
3 Island
2 Island
3 Mountain
2 Mountain
"
Mardu Surge (TDC),Zurgo Stormrender,"Zurgo Stormrender
1 Neriv, Crackling Vanguard
1 Ainok Strike Leader
1 Ironwill Forger
1 Will of the Mardu
1 Bone Devourer
1 Within Range
1 Goldlust Triad
1 Infantry Shield
1 Redoubled Stormsinger
1 Adeline, Resplendent Cathar
1 Angel of Invention
1 Commander's Insignia
1 Divine Visitation
1 Emeria Angel
1 Grand Crescendo
1 Hero of Bladehold
1 Hour of Reckoning
1 Legion Loyalty
1 Selfless Spirit
1 Sun Titan
1 Tocasia's Welcome
1 Twilight Drover
1 Chittering Witch
1 Eliminate the Competition
1 Gix, Yawgmoth Praetor
1 Mindblade Render
1 Ophiomancer
1 Yahenni, Undying Partisan
1 Grenzo, Havoc Raiser
1 Legion Warboss
1 Ogre Battledriver
1 Siege-Gang Commander
1 Tempt with Vengeance
1 Kaya, Geist Hunter
1 Blade of Selves
1 Idol of Oblivion
1 Myr Battlesphere
1 Solemn Simulacrum
1 Battlefield Forge
1 Canyon Slough
1 Castle Ardenvale
1 Castle Embereth
1 Caves of Koilos
1 Clifftop Retreat
1 Dragonskull Summit
1 Exotic Orchard
1 Fetid Heath
1 Isolated Chapel
1 Shattered Sanctum
1 Smoldering Marsh
1 Temple of Silence
1 Temple of Triumph
1 Vault of the Archangel
1 Windbrisk Heights
1 Shadow Summoning
1 Lightning Greaves
1 Skullclamp
1 Arcane Signet
1 Sol Ring
1 Command Tower
1 Goldnight Commander
1 Lingering Souls
1 Release the Dogs
1 Stroke of Midnight
1 Swords to Plowshares
1 Bastion of Remembrance
1 Bitter Triumph
1 Deadly Dispute
1 Morbid Opportunist
1 Viscera Seer
1 Abrade
1 Beetleback Chief
1 Loyal Apprentice
1 Nomad Outpost
1 Aron, Benalia's Ruin
1 Thalisse, Reverent Medium
1 Fellwar Stone
1 Talisman of Conviction
1 Talisman of Hierarchy
1 Wayfarer's Bauble
1 Bojuka Bog
1 Path of Ancestry
1 Shattered Landscape
1 Terramorphic Expanse
3 Plains
2 Plains
3 Swamp
2 Swamp
3 Mountain
2 Mountain
"
Sultai Arisen (TDC),"Teval, the Balanced Scale","Teval, the Balanced Scale
1 Kotis, Sibsig Champion
1 Diviner of Mist
1 Afterlife from the Loam
1 Teval's Judgment
1 Welcome the Dead
1 Floral Evoker
1 Steward of the Harvest
1 Will of the Sultai
1 Colossal Grave-Reaver
1 Gravecrawler
1 Life from the Loam
1 Casualties of War
1 Amphin Mutineer
1 River Kelpie
1 Dauthi Voidwalker
1 Disciple of Bolas
1 Junji, the Midnight Sky
1 Lethal Scheme
1 Living Death
1 Lord of the Forsaken
1 Necromantic Selection
1 Necropolis Fiend
1 Noxious Gearhulk
1 Ob Nixilis, the Fallen
1 Tasigur, the Golden Fang
1 Woe Strider
1 Avenger of Zendikar
1 Conduit of Worlds
1 Multani, Yavimaya's Avatar
1 Shigeki, Jukai Visionary
1 Consuming Aberration
1 Jarad, Golgari Lich Lord
1 Lord of Extinction
1 Meren of Clan Nel Toth
1 Command Beacon
1 Crypt of Agadeem
1 Darkwater Catacombs
1 Dreamroot Cascade
1 Drownyard Temple
1 Exotic Orchard
1 Fetid Pools
1 Hinterland Harbor
1 Llanowar Wastes
1 Sunken Hollow
1 Temple of Malady
1 Woodland Cemetery
1 Essence Anchor
1 Arcane Signet
1 Sol Ring
1 Command Tower
1 Forbidden Alchemy
1 Hedron Crab
1 Treasure Cruise
1 Wonder
1 Phyrexian Reclamation
1 Reassembling Skeleton
1 Stitcher's Supplier
1 Victimize
1 Kishla Skimmer
1 Crawling Sensation
1 Cultivate
1 Farseek
1 Grapple with the Past
1 Harrow
1 Opulent Palace
1 Rampant Growth
1 Sakura-Tribe Elder
1 Satyr Wayfinder
1 Springbloom Druid
1 Tear Asunder
1 Timeless Witness
1 Grisly Salvage
1 Nyx Weaver
1 Putrefy
1 Skull Prophet
1 Millikin
1 Cephalid Coliseum
1 Contaminated Aquifer
1 Foreboding Landscape
1 Golgari Rot Farm
1 Haunted Mire
1 Memorial to Folly
1 Myriad Landscape
1 Terramorphic Expanse
2 Island
2 Island
3 Swamp
2 Swamp
3 Forest
3 Forest
"
Temur Roar (TDC),"Eshki, Temur's Roar","Eshki, Temur's Roar
1 Ureni of the Unwritten
1 Deceptive Frostkite
1 Hammerhead Tyrant
1 Will of the Temur
1 Parapet Thrasher
1 Thundermane Dragon
1 Zenith Festival
1 Become the Avalanche
1 Broodcaller Scourge
1 Keiga, the Tide Star
1 Reflections of Littjara
1 Atsushi, the Blazing Sky
1 Blasphemous Act
1 Chaos Warp
1 Dragonmaster Outcast
1 Gadrak, the Crown-Scourge
1 Glorybringer
1 Hellkite Courser
1 Lathliss, Dragon Queen
1 Leyline Tyrant
1 Nesting Dragon
1 Nogi, Draco-Zealot
1 Opportunistic Dragon
1 Scourge of the Throne
1 Skarrgan Hellkite
1 Spit Flame
1 Storm's Wrath
1 Stormbreath Dragon
1 Taurean Mauler
1 Territorial Hellkite
1 Thunderbreak Regent
1 Vengeful Ancestor
1 Verix Bladewing
1 Frontier Siege
1 Selvala's Stampede
1 Atarka, World Render
1 Dragonlord Atarka
1 Harbinger of the Hunt
1 Sarkhan, Soul Aflame
1 Temur Ascendancy
1 Dragon's Hoard
1 Steel Hellkite
1 Cinder Glade
1 Exotic Orchard
1 Flooded Grove
1 Haven of the Spirit Dragon
1 Hinterland Harbor
1 Karplusan Forest
1 Kessig Wolf Run
1 Mossfire Valley
1 Mosswort Bridge
1 Rockfall Vale
1 Rootbound Crag
1 Sheltered Thicket
1 Shivan Reef
1 Sulfur Falls
1 Temple of Abandon
1 Temple of Mystery
1 Yavimaya Coast
1 Dragon Tempest
1 Breaching Dragonstorm
1 Temple of the Dragon Queen
1 Arcane Signet
1 Sol Ring
1 Command Tower
1 Stormshriek Feral // Flush Out
1 Encroaching Dragonstorm
1 Draconic Lore
1 Rapid Hybridization
1 Reality Shift
1 Dragonlord's Servant
1 Rapacious Dragon
1 Whirlwing Stormbrood // Dynamic Soar
1 Beast Within
1 Elemental Bond
1 Farseek
1 Evolving Wilds
1 Frontier Bivouac
1 Kodama's Reach
1 Migration Path
1 Fellwar Stone
1 Talisman of Creativity
1 Talisman of Impulse
1 Bountiful Landscape
1 Path of Ancestry
2 Island
1 Island
3 Mountain
3 Mountain
3 Forest
2 Forest
"
Eternal Might (DRC),"Temmet, Naktamun's Will","Temmet, Naktamun's Will
1 Hashaton, Scarab's Fist
1 On Wings of Gold
1 Priest of the Crossing
1 Renewed Solidarity
1 Wizened Mentor
1 Prophet of the Scarab
1 Rhet-Tomb Mystic
1 Lost Monarch of Ifnir
1 Accursed Duneyard
1 Commence the Endgame
1 Cryptbreaker
1 Grave Titan
1 Gravecrawler
1 Midnight Reaper
1 Murderous Rider // Swift End
1 Zombie Master
1 Angel of Sanctions
1 Dusk // Dawn
1 God-Eternal Oketra
1 Timeless Dragon
1 Champion of Wits
1 Forgotten Creation
1 Pull from Tomorrow
1 Vizier of Many Faces
1 Archfiend of Ifnir
1 Cemetery Reaper
1 Crowded Crypt
1 Damn
1 Dread Summons
1 Dreadhorde Invasion
1 Liliana, Death's Majesty
1 Never // Return
1 Plague Belcher
1 Rot Hulk
1 The Scarab God
1 God-Pharaoh's Gift
1 Maskwood Nexus
1 Adarkar Wastes
1 Caves of Koilos
1 Drowned Catacomb
1 Exotic Orchard
1 Fetid Pools
1 Glacial Fortress
1 Irrigated Farmland
1 Isolated Chapel
1 Prairie Stream
1 Sunken Hollow
1 Temple of Deceit
1 Temple of Silence
1 Underground River
1 Unholy Grotto
1 Swords to Plowshares
1 Corpse Augur
1 Corpse Knight
1 Arcane Signet
1 Sol Ring
1 Command Tower
1 Path of Ancestry
1 Binding Mummy
1 Cast Out
1 Eternal Skylord
1 Fleshbag Marauder
1 Gempalm Polluter
1 Lord of the Accursed
1 Twisted Abomination
1 Undead Augur
1 Despark
1 Gleaming Overseer
1 Lazotep Chancellor
1 Wayward Servant
1 Bontu's Monument
1 Commander's Sphere
1 Dimir Signet
1 Gate to the Afterlife
1 Orzhov Signet
1 Talisman of Dominance
1 Talisman of Hierarchy
1 Arcane Sanctum
1 Ash Barrens
1 Desert of the Glorified
1 Desert of the Mindful
1 Desert of the True
1 Evolving Wilds
1 Orzhov Basilica
1 Terramorphic Expanse
5 Plains
4 Island
5 Swamp
"
Living Energy (DRC),"Saheeli, Radiant Creator","Saheeli, Radiant Creator
1 Pia Nalaar, Chief Mechanic
1 Territorial Aetherkite
1 Nissa, Worldsoul Speaker
1 Peema Trailblazer
1 Rampaging Aetherhood
1 Adaptive Omnitool
1 Aetherflux Conduit
1 Aetheric Amplifier
1 Stridehangar Automaton
1 Chain Reaction
1 Chaos Warp
1 Druid of Purification
1 Chromatic Lantern
1 Duplicant
1 Academy Ruins
1 Aethersquall Ancient
1 Aethertide Whale
1 Confiscation Coup
1 Disallow
1 Midnight Clock
1 One with the Machine
1 Sai, Master Thopterist
1 Thopter Spy Network
1 Blasphemous Act
1 Combustible Gearhulk
1 Lightning Runner
1 Pia and Kiran Nalaar
1 Aetherwind Basker
1 Architect of the Untamed
1 Bootleggers' Stash
1 Elder Gargaroth
1 Aetherworks Marvel
1 Conjurer's Closet
1 Cultivator's Caravan
1 Panharmonicon
1 Retrofitter Foundry
1 Solemn Simulacrum
1 Triplicate Titan
1 Exotic Orchard
1 Frostboil Snarl
1 Hinterland Harbor
1 Karplusan Forest
1 Overflowing Basin
1 Rootbound Crag
1 Sheltered Thicket
1 Shivan Reef
1 Spire of Industry
1 Sulfur Falls
1 Temple of Epiphany
1 Treasure Vault
1 Vineglimmer Snarl
1 Yavimaya Coast
1 Reality Shift
1 Arcane Signet
1 Lightning Greaves
1 Sol Ring
1 Command Tower
1 Arcane Denial
1 Bespoke Battlewagon
1 Era of Innovation
1 Glimmer of Genius
1 Whirler Rogue
1 Loyal Apprentice
1 Reckless Fireweaver
1 Attune with Aether
1 Explosive Vegetation
1 Peema Aether-Seer
1 Servant of the Conduit
1 Rogue Refiner
1 Saheeli, Sublime Artificer
1 Whirler Virtuoso
1 Commander's Sphere
1 Decoction Module
1 Ornithopter of Paradise
1 Solar Transformer
1 Soul-Guide Lantern
1 Talisman of Curiosity
1 Aether Hub
1 Evolving Wilds
1 Frontier Bivouac
1 Path of Ancestry
1 Slagwoods Bridge
1 Tanglepool Bridge
5 Island
5 Mountain
6 Forest
"
20 Ways to Win (SLD),Go-Shintai of Life's Origin,"Go-Shintai of Life's Origin
1 Alseid of Life's Bounty
1 Approach of the Second Sun
1 Arcane Signet
1 Augur of Autumn
1 Auriok Champion
1 Austere Command
1 Azorius Guildgate
1 Baldur's Gate
1 Biovisionary
1 Black Dragon Gate
1 Boros Guildgate
1 Bountiful Promenade
1 Brushland
1 Chromatic Lantern
1 Circuitous Route
1 Citadel Gate
1 Clever Concealment
1 Cliffgate
1 Command Tower
1 Crib Swap
1 Darksteel Citadel
1 Darksteel Mutation
1 Dimir Guildgate
1 Drown in Dreams
1 Dryad of the Ilysian Grove
1 Eerie Ultimatum
1 Exotic Orchard
1 Faeburrow Elder
1 Felidar Sovereign
1 Fertile Ground
1 Forbidden Orchard
1 Forest
1 Forgotten Ancient
1 Gateway Plaza
1 Ghostly Prison
1 Ghoulish Impetus
1 Golgari Guildgate
1 Gond Gate
1 Gruul Guildgate
1 Halo Fountain
1 Hangarback Walker
1 Happily Ever After
1 Heap Gate
1 Heliod's Intervention
1 Heliod, Sun-Crowned
1 Helix Pinnacle
1 Hellkite Tyrant
1 Homeward Path
1 Izzet Guildgate
1 Kynaios and Tiro of Meletis
1 Lightning Greaves
1 Lignify
1 Liliana's Contract
1 Mangara, the Diplomat
1 Manor Gate
1 Maskwood Nexus
1 Mayael's Aria
1 Maze's End
1 Mechanized Production
1 Monologue Tax
1 Morbid Opportunist
1 Mystic Remora
1 Orzhov Guildgate
1 Overgrown Farmland
1 Pariah
1 Path of Ancestry
1 Plains
1 Plaza of Harmony
1 Rakdos Guildgate
1 Razorverge Thicket
1 Reflecting Pool
1 Revel in Riches
1 Rite of Replication
1 Sanctum Weaver
1 Sea Gate
1 Seedborn Muse
1 Selesnya Guildgate
1 Shalai, Voice of Plenty
1 Shiny Impetus
1 Simic Ascendancy
1 Simic Guildgate
1 Sol Ring
1 Soul's Attendant
1 Sphinx's Revelation
1 Sun Titan
1 Sunscorch Regent
1 Supreme Verdict
1 Taurean Mauler
1 Test of Endurance
1 The Eternal Wanderer
1 The World Tree
1 Thornglint Bridge
1 Tireless Tracker
1 Trace of Abundance
1 Tragic Arrogance
1 Triskaidekaphile
1 Twenty-Toed Toad
1 Wooded Bastion
1 Yahenni, Undying Partisan
"
Death Toll (DSC),"Winter, Cynical Opportunist","Winter, Cynical Opportunist
1 Rendmaw, Creaking Nest
1 Deluge of Doom
1 Demonic Covenant
1 Into the Pit
1 Polluted Cistern // Dim Oubliette
1 Demolisher Spawn
1 Formless Genesis
1 Ursine Monstrosity
1 Convert to Slime
1 Moldgraf Monstrosity
1 Culling Ritual
1 Cemetery Tampering
1 Noxious Gearhulk
1 Ob Nixilis Reignited
1 Professor Onyx
1 Reanimate
1 Whip of Erebos
1 Arachnogenesis
1 Deathcap Cultivator
1 Giant Adephage
1 Hornet Queen
1 Inscription of Abundance
1 Ishkanah, Grafwidow
1 Scavenging Ooze
1 Titania, Nature's Force
1 Wrenn and Seven
1 Deadbridge Chant
1 Grim Flayer
1 Grist, the Hunger Tide
1 Old Stickfingers
1 Solemn Simulacrum
1 Dryad Arbor
1 Exotic Orchard
1 Grim Backwoods
1 Llanowar Wastes
1 Necroblossom Snarl
1 Temple of Malady
1 Twilight Mire
1 Viridescent Bog
1 Woodland Cemetery
1 Vile Mutilator
1 Terramorphic Expanse
1 Night's Whisper
1 Grapple with the Past
1 Deathreap Ritual
1 Putrefy
1 Arcane Signet
1 Sol Ring
1 Suspicious Bookcase
1 Command Tower
1 Carrion Grub
1 Stitcher's Supplier
1 Crawling Sensation
1 Gnarlwood Dryad
1 Harmonize
1 Harrow
1 Moldgraf Millipede
1 Mulch
1 Obsessive Skinner
1 Rampant Growth
1 Sakura-Tribe Elder
1 Skola Grovedancer
1 Binding the Old Gods
1 Grisly Salvage
1 Nyx Weaver
1 Burnished Hart
1 Commander's Sphere
1 Golgari Signet
1 Haywire Mite
1 Mind Stone
1 Talisman of Resilience
1 Whispersilk Cloak
1 Ash Barrens
1 Barren Moor
1 Bojuka Bog
1 Darkmoss Bridge
1 Evolving Wilds
1 Golgari Rot Farm
1 Jungle Hollow
1 Reliquary Tower
1 Tainted Wood
1 Temple of the False God
1 Tranquil Thicket
1 Tree of Tales
1 Vault of Whispers
4 Swamp
3 Swamp
4 Forest
3 Forest
"
Endless Punishment (DSC),"Valgavoth, Harrower of Souls","Valgavoth, Harrower of Souls
1 The Lord of Pain
1 Persistent Constrictor
1 Sadistic Shell Game
1 Suspended Sentence
1 Barbflare Gremlin
1 Gleeful Arsonist
1 Spiked Corridor // Torture Pit
1 Star Athlete
1 Séance Board
1 Bedevil
1 Mogis, God of Slaughter
1 Braids, Arisen Nightmare
1 Decree of Pain
1 Fate Unraveler
1 Kederekt Parasite
1 Mask of Griselbrand
1 Massacre Girl
1 Massacre Wurm
1 Nightshade Harvester
1 Blasphemous Act
1 Brash Taunter
1 Chaos Warp
1 Combustible Gearhulk
1 Enchanter's Bane
1 Harsh Mentor
1 Rampaging Ferocidon
1 Tectonic Giant
1 Florian, Voldaren Scion
1 Kaervek the Merciless
1 Rakdos, Lord of Riots
1 Spiteful Visions
1 Stormfist Crusader
1 Theater of Horrors
1 Vial Smasher the Fierce
1 Basilisk Collar
1 Solemn Simulacrum
1 Blackcleave Cliffs
1 Canyon Slough
1 Dragonskull Summit
1 Exotic Orchard
1 Foreboding Ruins
1 Graven Cairns
1 Shadowblood Ridge
1 Shivan Gorge
1 Smoldering Marsh
1 Spinerock Knoll
1 Sulfurous Springs
1 Temple of Malice
1 Witch's Clinic
1 Fear of Burning Alive
1 Grab the Prize
1 Terramorphic Expanse
1 Blood Pact
1 Blood Seeker
1 Feed the Swarm
1 Arcane Signet
1 Lightning Greaves
1 Sol Ring
1 Command Tower
1 Bastion of Remembrance
1 Blood Artist
1 Falkenrath Noble
1 Gray Merchant of Asphodel
1 Infernal Grasp
1 Morbid Opportunist
1 Sign in Blood
1 Syr Konrad, the Grim
1 Light Up the Stage
1 Kardur, Doomscourge
1 Mayhem Devil
1 Rakdos Charm
1 Fellwar Stone
1 Mind Stone
1 Rakdos Signet
1 Talisman of Indulgence
1 Thought Vessel
1 Ash Barrens
1 Bloodfell Caves
1 Evolving Wilds
1 Geothermal Bog
1 Leechridden Swamp
1 Tainted Peak
1 Temple of the False God
4 Swamp
4 Swamp
4 Mountain
4 Mountain
"
Jump Scare! (DSC),"Zimone, Mystery Unraveler","Zimone, Mystery Unraveler
1 Kianne, Corrupted Memory
1 Glitch Interpreter
1 They Came from the Pipes
1 Zimone's Hypothesis
1 Curator Beastie
1 Disorienting Choice
1 Experimental Lab // Staff Room
1 Shriekwood Devourer
1 Giggling Skitterspike
1 Cackling Counterpart
1 Citanul Hierophants
1 Aether Gale
1 Body of Knowledge
1 Dig Through Time
1 Kefnet the Mindful
1 Kheru Spellsnatcher
1 Primordial Mist
1 Skaab Ruinator
1 Ashaya, Soul of the Wild
1 Augur of Autumn
1 Deathmist Raptor
1 Ezuri's Predation
1 Hydra Omnivore
1 Multani, Yavimaya's Avatar
1 Overwhelming Stampede
1 Sandwurm Convergence
1 Scute Swarm
1 Shigeki, Jukai Visionary
1 Temur War Shaman
1 Thunderfoot Baloth
1 Trail of Mystery
1 Whisperwood Elemental
1 Worldspine Wurm
1 Aesi, Tyrant of Gyre Strait
1 Arixmethes, Slumbering Isle
1 Biomass Mutation
1 Oversimplify
1 Rashmi, Eternities Crafter
1 Scroll of Fate
1 Castle Vantress
1 Drownyard Temple
1 Flooded Grove
1 Hinterland Harbor
1 Mosswort Bridge
1 Overflowing Basin
1 Temple of Mystery
1 Vineglimmer Snarl
1 Yavimaya Coast
1 Overgrown Zealot
1 Growing Dread
1 Terramorphic Expanse
1 Beast Within
1 Growth Spiral
1 Arcane Signet
1 Sol Ring
1 Command Tower
1 Counterspell
1 Reality Shift
1 Retreat to Coralhelm
1 Beanstalk Giant // Fertile Footsteps
1 Cultivate
1 Explosive Vegetation
1 Greater Tanuki
1 Rampant Growth
1 Sakura-Tribe Elder
1 Wilderness Reclamation
1 Yavimaya Elder
1 Yedora, Grave Gardener
1 Eureka Moment
1 Tatyova, Benthic Druid
1 Trygon Predator
1 Simic Signet
1 Ash Barrens
1 Evolving Wilds
1 Myriad Landscape
1 Quandrix Campus
1 Reliquary Tower
1 Simic Growth Chamber
1 Tangled Islet
1 Temple of the False God
1 Thornwood Falls
5 Island
4 Island
5 Forest
4 Forest
"
Miracle Worker (DSC),"Aminatou, Veil Piercer","Aminatou, Veil Piercer
1 The Master of Keys
1 Redress Fate
1 Secret Arcade // Dusty Parlor
1 Soaring Lightbringer
1 Fear of Sleep Paralysis
1 Ancient Cellarspawn
1 Cramped Vents // Access Maze
1 Metamorphosis Fanatic
1 Phenomenon Investigators
1 Mesa Enchantress
1 Terminus
1 Aminatou's Augury
1 Utter End
1 Entreat the Angels
1 Monologue Tax
1 Ondu Spiritdancer
1 Sigil of the Empty Throne
1 Starfield Mystic
1 Timely Ward
1 Verge Rangers
1 Dream Eater
1 Extravagant Replication
1 Mirrormade
1 One with the Multiverse
1 Prognostic Sphinx
1 Shark Typhoon
1 Arvinox, the Mind Flail
1 Demon of Fate's Design
1 Doomwake Giant
1 Nightmare Shepherd
1 Athreos, Shroud-Veiled
1 Inkshield
1 Life Insurance
1 Spirit-Sister's Call
1 Time Wipe
1 Solemn Simulacrum
1 Adarkar Wastes
1 Caves of Koilos
1 Hall of Heliod's Generosity
1 Temple of Deceit
1 Temple of Enlightenment
1 Temple of Silence
1 Underground River
1 Bottomless Pool // Locker Room
1 Terramorphic Expanse
1 Auramancer
1 Swords to Plowshares
1 Moon-Blessed Cleric
1 Ponder
1 Portent
1 Telling Time
1 Diabolic Vision
1 Arcane Signet
1 Sol Ring
1 Command Tower
1 Cast Out
1 Return to Dust
1 Sphere of Safety
1 Arcane Denial
1 Archetype of Imagination
1 Brainstorm
1 Otherworldly Gaze
1 Thirst for Meaning
1 The Eldest Reborn
1 Read the Bones
1 Azorius Signet
1 Brainstone
1 Burnished Hart
1 Commander's Sphere
1 Mind Stone
1 Orzhov Signet
1 Arcane Sanctum
1 Ash Barrens
1 Azorius Chancery
1 Bojuka Bog
1 Dimir Aqueduct
1 Evolving Wilds
1 Halimar Depths
1 Obscura Storefront
1 Orzhov Basilica
1 Tainted Field
1 Tainted Isle
1 Thriving Heath
1 Thriving Isle
1 Thriving Moor
3 Plains
2 Plains
2 Island
2 Island
3 Swamp
2 Swamp
"
